Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Mayank Agarwal,PBKS,Batsman ,12,"31 Years, 0 Months, 28 Days",India,Right Handed,Off break,100,4,2131,1,11,203,85,135.47,40,0,,,,,
Liam Livingstone,PBKS,All-Rounder ,11.5,"28 Years, 7 Months, 11 Days",England,Right Handed,Leg break,9,1,112,0,0,9,6,125.84,7,0,1,0,0,13,
Kagiso Rabada,PBKS,Bowler ,9.25,"26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,50,8,138,0,0,11,4,102.98,23,0,190,2,76,8.21,15
Shahrukh Khan,PBKS,All-Rounder ,9,"26 Years, 9 Months, 20 Days",India,Right Handed,Off break,11,3,153,0,0,9,10,134.21,4,0,,,,,
Shikhar Dhawan,PBKS,Batsman ,8.25,"36 Years, 3 Months, 10 Days",India,Left Handed,Off break,192,25,5784,2,44,654,124,126.64,82,0,8,0,4,8.25,12
Jonny Bairstow,PBKS,Wicket-Keeper ,6.75,"32 Years, 5 Months, 19 Days",England,Right Handed,Right-arm medium,28,3,1038,1,7,99,46,142.19,18,4,,,,,
Odean Smith,PBKS,All-Rounder ,6,"25 Years, 4 Months, 14 Days",West Indies,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Rahul Chahar,PBKS,Bowler ,5.25,"22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,42,4,31,0,0,3,0,96.87,11,0,150,0,43,7.44,20.93
Arshdeep Singh,PBKS,Bowler ,4,"23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,23,2,2,0,0,0,0,33.33,6,0,76.1,1,30,8.78,15.23
Harpreet Brar,PBKS,All-Rounder ,3.8,"26 Years, 6 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,10,6,84,0,0,5,3,120,2,0,32,1,5,7.12,38.4
Vaibhav Arora,PBKS,Bowler ,2,"24 Years, 3 Months, 1 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,
Raj Bawa,PBKS,All-Rounder ,2,"19 Years, 4 Months, 3 Days",India,Left Handed,Right-arm medium fast,,,,,,,,,,,,,,,
Nathan Ellis,PBKS,Bowler ,0.75,"27 Years, 5 Months, 23 Days",Australia,Right Handed,Right-arm fast medium,3,1,18,0,0,0,1,112.5,,,11,0,1,8.18,66
Prabhsimran Singh,PBKS,Wicket-Keeper ,0.6,"21 Years, 7 Months, 5 Days",India,Right Handed,,5,0,50,0,0,4,2,90.9,2,0,,,,,
Rishi Dhawan,PBKS,All-Rounder ,0.55,"32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,26,10,153,0,0,13,4,113.33,6,0,81.2,1,18,7.86,27.11
Bhanuka Rajapaksa,PBKS,Batsman ,0.5,"30 Years, 4 Months, 23 Days",Sri Lanka,,,,,,,,,,,,,,,,,
Sandeep Sharma,PBKS,Bowler ,0.5,"28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,99,19,52,0,0,4,0,81.25,12,0,366.2,8,112,7.77,19.62
Benny Howell,PBKS,All-Rounder ,0.4,"33 Years, 5 Months, 10 Days",England,,,,,,,,,,,,,,,,,
Ishan Porel,PBKS,Bowler ,0.25,"23 Years, 6 Months, 10 Days",India,Right Handed,Right-arm medium,1,0,,0,0,0,0,0,,,4,0,1,9.75,24
Prerak Mankad,PBKS,All-Rounder ,0.2,"27 Years, 10 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Atharva Taide,PBKS,All-Rounder ,0.2,"21 Years, 10 Months, 19 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
Ansh Patel,PBKS,All-Rounder ,0.2,"20 Years, 0 Months, 24 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
Jitesh Sharma,PBKS,Wicket-Keeper ,0.2,"28 Years, 4 Months, 24 Days",India,Right Handed,,,,,,,,,,,,,,,,
Writtick Chatterjee,PBKS,All-Rounder ,0.2,"29 Years, 5 Months, 17 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
